Billie Jean; Michael Jackson
Please Please Please; Sabrina Carpenter
Nonsense; Sabrina Carpenter
Taste; Sabrina Carpenter
Feather; Sabrina Carpenter
Bed Chem; Sabrina Carpenter
Looking at Me; Sabrina Carpenter
because i liked a boy; Sabrina Carpenter
Juno; Sabrina Carpenter
Thumbs; Sabrina Carpenter
Good Graces; Sabrina Carpenter
Sue Me; Sabrina Carpenter
Skin; Sabrina Carpenter
Coincidence; Sabrina Carpenter
Why; Sabrina Carpenter
Read your Mind; Sabrina Carpenter
Sharpest Tool; Sabrina Carpenter
emails i can’t send; Sabrina Carpenter
A Nonsense Christmas; Sabrina Carpenter
Slim Pickins; Sabrina Carpenter
Good Luck, Babe!; Chappell Roan
HOT TO GO!; Chappell Roan
Pink Pony Club; Chappell Roan
Red Wine Supernova; Chappell Roan
Casual; Chappell Roan
Femininomenon; Chappell Roan
My Kink Is Karma; Chappell Roan
Naked In Manhattan; Chappell Roan
Super Graphic Ultra Modern Girl; Chappell Roan
After Midnight; Chappell Roan
Picture You; Chappell Roan
California; Chappell Roan
Coffee; Chappell Roan
Kaleidoscope; Chappell Roan
Guilty Pleasure; Chappell Roan
Love Me Anyway; Chappell Roan
The Giver; Chappell Roan
School Nights; Chappell Roan
Good Hurt; Chappell Roan
Bitter; Chappell Roan
Guess featuring billie eilish; Charli xcx
Boom Clap; Charli xcx
360; Charli xcx
Apple; Charli xcx
Speed Drive; Charli xcx
1999; Charli xcx
Von dutch; Charli xcx
Break the Rules; Charli xcx
Boys; Charli xcx
365; Charli xcx
Good Ones; Charli xcx
Girl, so confusing featuring lorde; Charli xcx
Beg for You; Charli xcx
Vroom Vroom; Charli xcx
Unlock It; Charli xcx
Blame It on Your Love; Charli xcx
Club classics; Charli xcx
Sympathy is a knife; Charli xcx
B2b; Charli xcx
After the Afterparty; Charli xcx
Uptown Girl; Billy Joel  
Piano Man; Billy Joel  
Vienna; Billy Joel  
We Didn't Start the Fire; Billy Joel  
She's Always a Woman; Billy Joel  
Just the Way You Are; Billy Joel  
My Life; Billy Joel  
It's Still Rock and Roll to Me; Billy Joel  
Only the Good Die Young; Billy Joel  
Movin' Out (Anthony's Song); Billy Joel  
The Longest Time; Billy Joel  
The River of Dreams; Billy Joel  
You May Be Right; Billy Joel  
Honesty; Billy Joel  
New York State of Mind; Billy Joel  
Scenes from an Italian Restaurant; Billy Joel  
Tell Her About It; Billy Joel  
Zanzibar; Billy Joel
The Downeaster 'Alexa'; Billy Joel
Big Shot; Billy Joel
We Found Love; Rihanna  
Umbrella; Rihanna  
Love On The Brain; Rihanna  
Needed Me; Rihanna  
Diamonds; Rihanna  
Stay; Rihanna  
Work; Rihanna  
Only Girl (In The World); Rihanna  
S&M; Rihanna  
FourFiveSeconds; Rihanna  
Don't Stop The Music; Rihanna  
Bitch Better Have My Money; Rihanna  
Pon de Replay; Rihanna  
Disturbia; Rihanna  
Take A Bow; Rihanna  
Where Have You Been; Rihanna  
Rude Boy; Rihanna  
Kiss It Better; Rihanna  
What's My Name?; Rihanna  
Loveeeeeee Song; Rihanna  
